姓, 姓(カタカナ), 姓(ひらがな)
三上,ミカミ,みかみ
三井,ミツイ,みつい
三原,ミハラ,みはら
三好,ミヨシ,みよし
三宅,ミヤケ,みやけ
三島,ミシマ,みしま
三木,ミキ,みき
三村,ミムラ,みむら
三枝,サエグサ,さえぐさ
三橋,ミハシ,みはし
三沢,ミサワ,みさわ
三浦,ミウラ,みうら
三田,ミタ,みた
三谷,サンヤ,さんや
三谷,ミタニ,みたに
三輪,ミワ,みわ
上原,ウエハラ,うえはら
上山,カミヤマ,かみやま
上岡,カミオカ,かみおか
上杉,ウエスギ,うえすぎ
上村,ウエムラ,うえむら
上条,カミジョウ,かみじょう
上田,ウエダ,うえだ
上野,アガノ,あがの
下山,シモヤマ,しもやま
下川,シモカワ,しもかわ
下村,シモムラ,しもむら
下田,シモダ,しもだ
並木,ナミキ,なみき
中,ナカ,なか
中井,ナカイ,なかい
中原,ナカハラ,なかはら
中塚,ナカツカ,なかつか
中尾,ナカオ,なかお
中山,ナカヤマ,なかやま
中岡,ナカオカ,なかおか
中島,ナカシマ,なかしま
中嶋,ナカジマ,なかじま
中川,ナカガワ,なかがわ
中本,ナカモト,なかもと
中村,ナカムラ,なかむら
中林,ナカバヤシ,なかばやし
中根,ナカネ,なかね
中森,ナカモリ,なかもり
中沢,ナカザワ,なかざわ
中澤,ナカザワ,なかざわ
中田,ナカダ,なかだ
中西,ナカニシ,なかにし
中谷,ナカタニ,なかたに
中里,ナカザト,なかざと
中野,ナカノ,なかの
丸山,マルヤマ,まるやま
丸田,マルタ,まるた
丹羽,タンバ,たんば
丹野,タンノ,たんの
久保,クボ,くぼ
久保田,クボタ,くぼた
久米,クメ,くめ
久野,ヒサノ,ひさの
乾,イヌイ,いぬい
亀井,カメイ,かめい
亀山,カメヤマ,かめやま
亀田,カメダ,かめだ
二宮,ニノミヤ,にのみや
二瓶,ニヘイ,にへい
五十嵐,イガラシ,いがらし
五味,ゴミ,ごみ
井上,イノウエ,いのうえ
井出,イデ,いで
井原,イハラ,いはら
井口,イグチ,いぐち
井川,イカワ,いかわ
井手,イデ,いで
井本,イモト,いもと
井村,イムラ,いむら
井沢,イザワ,いざわ
井田,イダ,いだ
今,コン,こん
今井,イマイ,いまい
今川,イマガワ,いまがわ
今村,イマムラ,いまむら
今泉,イマイズミ,いまいずみ
今田,イマダ,いまだ
今西,イマニシ,いまにし
今野,コンノ,こんの
仲村,ナカムラ,なかむら
仲田,ナカダ,なかだ
仲野,ナカノ,なかの
伊東,イトウ,いとう
伊沢,イザワ,いざわ
伊藤,イトウ,いとう
伏見,フシミ,ふしみ
会田,アイダ,あいだ
伴,バン,ばん
住田,スミダ,すみだ
佐々木,ササキ,ささき
佐久間,サクマ,さくま
佐伯,サエキ,さえき
佐川,サガワ,さがわ
佐竹,サタケ,さたけ
佐藤,サトウ,さとう
佐野,サノ,さの
依田,イダ,いだ
保坂,ホサカ,ほさか
保田,ヤスダ,やすだ
倉持,クラモチ,くらもち
倉本,クラモト,くらもと
倉橋,クラハシ,くらはし
倉田,クラタ,くらた
児島,コジマ,こじま
児玉,コダマ,こだま
入江,イリエ,いりえ
八木,ヤギ,やぎ
八田,ヤツタ,やつた
内山,ウチヤマ,うちやま
内村,ウチムラ,うちむら
内海,ウツミ,うつみ
内田,ウチダ,うちだ
内藤,ナイトウ,ないとう
内野,ウチノ,うちの
冨永,トミナガ,とみなが
冨田,トミタ,とみた
出口,デクチ,でくち
前原,マエハラ,まえはら
前島,マエジマ,まえじま
前川,マエカワ,まえかわ
前田,マエダ,まえだ
前野,マエノ,まえの
加瀬,カセ,かせ
加納,カノウ,かのう
加藤,カトウ,かとう
加賀,カガ,かが
勝又,カツマタ,かつまた
勝田,カツタ,かつた
北,キタ,きた
北原,キタハラ,きたはら
北尾,キタオ,きたお
北山,キタヤマ,きたやま
北岡,キタオカ,きたおか
北島,キタジマ,きたじま
北川,キタガワ,きたがわ
北村,キタムラ,きたむら
北条,ホウジョウ,ほうじょう
北沢,キタザワ,きたざわ
北田,キタダ,きただ
北野,キタノ,きたの
千田,センダ,せんだ
千葉,チバ,ちば
半田,ハンダ,はんだ
南,ミナミ,みなみ
南田,ミナミダ,みなみだ
南部,ナンブ,なんぶ
原,ハラ,はら
原口,ハラグチ,はらぐち
原田,ハラダ,はらだ
及川,オイカワ,おいかわ
古屋,フルヤ,ふるや
古山,フルヤマ,ふるやま
古川,フルカワ,ふるかわ
古市,フルイチ,ふるいち
古橋,フルハシ,ふるはし
古沢,フルサワ,ふるさわ
古河,フルカワ,ふるかわ
古田,フルタ,ふるた
古谷,フルヤ,ふるや
古賀,コガ,こが
合田,アイダ,あいだ
吉井,ヨシイ,よしい
吉原,ヨシワラ,よしわら
